title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
计算机程序的构造和解释,HaroldAbelson/GeraldJaySussman/JulieSussman,机械工业出版社,原书第2版,StructureandInterpretationofComputerPrograms,裘宗燕,2004-2,473,45.00元,9787111135104
代码大全（第2版）,[美]史蒂夫·迈克康奈尔,电子工业出版社,无,CodeComplete,金戈,2006-3,944,128.00元,9787121022982
算法导论（原书第2版）,[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein,机械工业出版社,无,IntroductiontoAlgorithms,潘金贵等,2006-9,754,85.00元,9787111187776
C程序设计语言,（美）BrianW.Kernighan/（美）DennisM.Ritchie,机械工业出版社,第2版·新版,TheCProgrammingLanguage,徐宝文,2004-1,258,30.00元,9787111128069
C++ Primer 中文版（第 4 版）,StanleyB.Lippman/JoséeLaJoie/BarbaraE.Moo,人民邮电出版社,无,"C++Primer,4thEdition",李师贤,2006,745,99.00元,9787115145543
UNIX环境高级编程,W.RichardStevens/StephenA.Rago,人民邮电出版社,第2版,无,尤晋元,2006年,758,99.00元,9787115147318
编程珠玑,[美]JonBentley,人民邮电出版社,第2版,ProgrammingPearlsSecondEdition,黄倩,2008-10,228,39.00元,9787115179289
编码,[美]CharlesPetzold,电子工业出版社,隐匿在计算机软硬件背后的语言,Code:TheHiddenLanguageofComputerHardwareandSoftware,左飞,2010,392,55.00元,9787121106101
Java编程思想 （第4版）,[美]BruceEckel,机械工业出版社,无,ThinkinginJava,陈昊鹏,2007-6,880,108.00元,9787111213826
UNIX编程艺术,[美]EricS·Raymond,电子工业出版社,无,无,姜宏,2006-2,525,59.00元,9787121021169
深入理解计算机系统,RandalE.Bryant/DavidO'Hallaron,中国电力出版社,无,ComputerSystems:AProgrammer'sPerspective,龚奕利,2004-5-1,873,85.00元,9787508321752
计算机程序设计艺术（第1卷）,[美]DonaldE·Knuth,清华大学出版社,基本算法,无,无,2002-9,650,80.00元,9787302058144
重构,[美]MartinFowler,中国电力出版社,改善既有代码的设计,Refactoring:ImprovingtheDesignofExistingCode,无,2003-8-1,464,68.00元,9787508315546
程序员修炼之道,AndrewHunt/DavidThomas,电子工业出版社,从小工到专家,ThePragmaticProgrammer,马维达,2005-1,333,48.00元,9787505397194
程序员的自我修养,俞甲子/石凡/潘爱民,电子工业出版社,链接、装载与库,无,无,2009-4,459,65.00,9787121085116
算法（第4版）,塞奇威克(RobertSedgewick)/韦恩(KevinWayne),人民邮电出版社,无,Algorithms4thedition,谢路云,2012-10-1,636,99.00元,9787115293800
C专家编程,PetervanderLinden,人民邮电出版社,无,ExpertCProgramming:DeepCSecrets,徐波,2008-2,291,45.00元,9787115171801
UNIX网络编程,史蒂文斯/芬纳/鲁道夫,清华大学出版社,第1卷:套接口API(第3版),UnixNetworkProgramming,杨继张,2006-1,848,98.00元,9787302119746
编程之美,《编程之美》小组编,电子工业出版社,微软技术面试心得,无,无,2008-3,327,40.00元,9787121060748
JavaScript高级程序设计（第3版）,[美]尼古拉斯·泽卡斯,人民邮电出版社,无,ProfessionalJavaScriptforWeb,李松峰,2012-3-29,748,99.00元,9787115275790
黑客与画家,[美]保罗·格雷厄姆,人民邮电出版社,硅谷创业之父PaulGraham文集,HackersandPainters:BigIdeasfromtheComputerAge,阮一峰,2011-4,264,49.00元,9787115249494
